Song,Artist,Genre,Recommended by DJ...,DJ Notes,Listener Notes,,,
"Hold On, I'm Comin'",Sam & Dave,Soul,DJ Joc,This song makes me feel like I can do anything,"Mount Rushmore of songs, it just can't be beat - DJ Chunk",Also you can do anything - DJ Chunk,,
The Wind,Cat Stevens,Folk Rock,DJ Joc,Might be an all-time top 10,,,,
Dance with Everybody,Drew Holcomb,Folk Rock,DJ Younger Twin,"This was on a song on commercials / highlights during March Madness last year, so given that March Madness is coming up again, I'm putting this record on.",,,,
Moore St. Girls,The Elders,Irish,DJ Younger Twin,A good one for a hoolie. ,,,,
Chasin' Rainbows,The High Kings,Irish,DJ Younger Twin,A foot stomper for sure.,,,,
Internet Girl,KATSEYE,Pop,DJ Morganism,It sounds like is should be in an early 2000s AOL commercial ,,,,
She Got Game,Public Enemy,Hip Hop,DJ Morganism,Flavor Flav being the ultimate women's sports supporter is so random but such a delight,Flav has definitely been the highest jump on my favorite people list over the past 12 months. What a guy! - DJ Chunk,,,
Something to Someone,Dermot Kennedy,Folk Pop,DJ Morganism,I just love him a lot. ,,,,
Call It Dreaming,Iron & Wine,Indie ,DJ Morganism,It's just pretty and sounds dreamy,"This song is peak Sunday afternoon for me, I've listened to it like 20 times today - DJ Chunk",this is on my easy listening/chill playlist. love this one! -DJ Midge,,
Star of the County Down,Van Morrison,Irish,DJ Younger Twin ,"Things I recently learned: Van Morrison is Irish. Well, Northern Irish. ",,,,
Every Little Thing,Yes,Rock,DJ Mil,Top 3 Beatles covers IMO,,,,
Hello Old Friend,Eric Clapton,Rock,DJ Mil,Randomly popped into my head the other day. Listened to it ~10 times since.,I forgot about this song and love it! thanks for the reintroduction mick -DJ Midge,,,
Disco at the Strip Club,Rêve,Dance Pop,DJ TKO,Cannot get this out of my head and would not want to,This is so catchy! A big fan -DJ Midge,,,
PULL UP,"Connor Price, Hoodie Allen",Hip Hop,DJ TKO,REMEMBER THIS BITCH,I am gobsmacked that Hoodie Allen is still making music and not like working in marketing in Denver - Schiff,,,
Out of Myself,Charli XCX,Pop,DJ TKO,"All these pop girls doing full album soundtracks is kind of strange but there are a few really good Charli songs on this one even if the movie was, according to everyone else, meh",This song AMPS me up - DJ Chunk,,,
Dancing on the Wall,MUNA,Indie Pop,DJ TKO,"Lesbian emo dance pop, you're welcome",,,,
Faded,Kim Petras,Coke Pop,DJ TKO,A classic before she went all hyperpop although her feuding with her label is extremely gratifying,,,,
Dry Spell,Kacey Musgraves,Country,Schiff,"Someone take Ms. Musgraves out for an Applebee's 2for20, my girl is all horn't up",Don't get me started on how it's 2 for $25 now. IS NOTHING HOLY?!? - DJ Chunk ,,,
Waltz For Debby,Bill Evans Trio,Jazz,Mil,"Take 2 from The Village Vanguard, 1961. I think this recording was only a few weeks before Scott LaFaro's tragic passing. Still my all time favorite group. There is music that you listen to for fun, and there is music which speaks to your soul. This is the latter.","As good as it gets, love Bill Evans! - DJ Chunk",,,
Sunday Candy,Donnie Trumpet and The Social Experiment ,R&B/Soul?,DJ Midge,a song a used to listen to on repeat a decade ago that randomly came up yesterday on shuffle and I had to share,,,,
