Song,Artist,Genre,Recommended by DJ...,DJ Notes,Listener Notes,,
The Razor,Head Automatica,Punk,DJ TKO,Oldie -- emo and weird and fun,,,
Black Cadillacs,Modest Mouse,Indie Rock,DJ TKO,Listened to this entire album recently on a plane (15 years? RUFKM?) and this holds up,,,
These Things Will Come To Be,DJ Seinfeld,Electronica,DJ TKO,I'm kind of into deep house / deep electro for the gym recently? Lots of Fred Again.... led me here. p good,"Digging this! Saw Fred in Chicago during his current tour. Just wowzers. Hope to see him Again..
- DJ Ram",,
COLORS,AVAION,Dance/Electronic,Ramstein,Inspired by DJ TKO to add some Dance/Electronic. Enjoy!,,,
VIRUS,"GEN.KLOUD, Odd Mob",Dance/Electronic,Ramstein,Boots and pants and boots and pants and boots and pants,,,
Better,nimino. Manta,Dance/Electronic,Ramstein,"You'll move your head a bit, then your neck, then your shoulders and all of a sudden you're dancing on your own",,,
In The Middle,"Daniel Allan, Arden Jones",Dance/Electronic,Ramstein,"Close your eyes, be mine for a little",,,
Different Time,Swimming Paul,Dance/Electronic,Ramstein,Feels like a mix between between 2026 and 1996 which are in fact different times,I did not expect the lyrics of a Dance/Electronic song by someone named Swimming Paul to hit me so hard in the feels - DJ Chunk,,
Give it Time,Goose ,Rock,DJ Chunk,This one just builds and builds and builds and then there's drums and I love it ,I feel like I should be in a mega church listening to this - DJ Midge,Is this a Christian rock band? -DJ IDWADJN,
Disco,Geese,Rock,DJ Morganism,It's a good song but mostly I just wanted Geese to be near Goose :) ,Hahahaha I never remember which of these two bands sings the songs I like by these two bands - DJ Chunk,lol the Geese/Goose struggle is real. Maybe one day their kids will form a band called Goslings - DJ Morganism,
Dublin Blues,Guy Clark,Folk ,DJ Older Twin,"A somewhat somber, nostalgic feel of guitar strumming song with a slight string background.  Take away the lyrics, and the music could be in a Ken Burns Civil War documentary.  A good rainy day song while you're inside.",,,
May I Never,Hayes Carll,Americana?,DJ Older Twin,A slowed-down guitar and piano song that feels like it belongs in a Sunday morning church service.  I enjoy the lyrics about self-reflection and staying true to yourself.,big fan - DJ Midge,,
Lake Marie,John Prine,Folk,DJ Older Twin,"A more upbeat folksy song that could be the movie Fargo in a song...it's about two lakes, the twin lakes....and a potential murder.  Need I say more?",John Prine is always welcome - DJ Chunk,,
Sons & Daughters,The Decemberists,Indie Rock,DJ Older Twin,Need I say more than this song was in The Office albeit with a bit more of a folk-tune to it?  A song that feels nostalgic and hopeful at the same time.,"This song is a classic, I love it - DJ Chunk, Agreed- DJ Midge",,
Midnight Moves,Brown Oak Assembly,Indie Rock/Jam ,DJ Older Twin,A jamish song that I listened to at least 20 times the day I found it. ,Love this one too! -DJ Midge,,
