Song,Artist,Genre,Recommended by DJ...,DJ Notes,Listener Notes,,,,
No Broke Boys - AVELLO remix ,"Disco Lines, Tinashe, AVELLO",Dance/Electronic,DJ Morganism,It's just so so good. Big fan of Tinashe. ,,,,,
Die On This Hill,Sienna Spiro,Pop/Soul,DJ Morganism,I feel like she is Gen Z Adele ,I can TOTALLY see that hahaha - DJ Chunk,,,,
Traveling Soldier ,Cody Johnson ,country,DJ Rocket,just to continue the cover theme from earlier...,"Cover or no cover, this song goes right for the feels - DJ Chunk",,,,
Come To My Party,Black Joe Lewis & The Honebears,Funk,DJ Older Twin,From the Christmas Classic - Office Christmas Party.... but really just an upbeat get ready to go out song.  Plus those horns.,,,,,
How You Like Me Now,The Heavy,Indie Rock,DJ Older Twin,More horns!  Also love the 2010 Kia Sorrento Superbowl Commercial where I first heard this song...how can you not love that cast of characters?!,,,,,
Big Country,Bela Fleck,Bluegrass/Rock,DJ Older Twin,Compliments of a music class I took at Bucknell (I think) - it was definitely from Bucknell.  Just a good song - especially the live version.,"I love this song, it's on my airplane chill playlist haha - DJ Chunk",,,,
Born To Run,Emmylou Harris,Folk/Rock,DJ Older Twin,Not to be confused with the Bruce Springsteen song by the same name....this version can still hold it's own.  ,,,,,
Head Full of Doubt,Avett Brothers,Folk/Rock,DJ Older Twin,"Love this song, and the music video. ",,,,,
Something's Gonna Go Our Way,502s,Alternative/Indie,DJ Older Twin,502s ....iykyk,"I don't k the 502s, but I do k I like this song! - DJ Chunk",,,,
Holy Roller,The Format,Indie Pop,DJ KN,"The Format coming out with a new album after 20 years is giving me life. The whole album is great, and it made me relisten to Dog Problems, which is a top ten unskippable album for me.","I feel like I can draw the dog problems album cover from memory even though I haven't listened in 20 years. Good pull, I'll give the new album a shot! -Schiff",,,,
So Easy (To Fall In Love),Olivia Dean,R&B,DJ KN,This playlist needs more r&b.,,,,,
,,,, ,,,,,
