Song,Artist,Genre,Recommended by DJ...,DJ Notes,Listener Notes,,
My Hometown,Bruce Springsteen ,Classic Rock,DJ Chunk,"A slow one from Bruce. Not many, if any, songs paint such a picture in my head as My Hometown. Heartbreaking but also nostalgic. Heartbreaking because it's nostalgic? I can't say, but it hits the feels in a way that only Bruce can.",,,
Hungry Heart,Bruce Springsteen ,Classic Rock,DJ Chunk,Just learn the first verse and chorus of this song and you've got yourself verifiable badass rock'n'roll poetry. Special place in my heart for being the song we'd sing coming back into camp at Running Works in 2006.,,,
She's the One,Bruce Springsteen ,Classic Rock,DJ Chunk,"DJ Joc forgot to dedicate her song to me last month, I won't make the same mistake ;). Just good old fashioned rockin dedicated to my one and only!",Is Rosalita the one? - DJYT,"Timmy, DJ Joc is the one, we just went through this. - DJ Chunk",
Thunder Road,Bruce Springsteen ,Classic Rock,DJ Chunk,"Wrapping up with the song that first truly made me fall in love with Bruce. You can't help but visualize the whole story and with Clarence 'Big Man"" Clemmons playing those crazy kids out, you can't help but hope that they get a chance to win.",,,
It's Hard to Be a Saint in the City (live at the Hammersmith),Bruce Springsteen ,Classic Rock,DJ Younger Twin,"Keeping Born to Run out of this conversation because we know that's the GOAT, but you got me listening to two of my Bruce faves @DJ Chunk. The Live at Hammersmith version of this is fire - DJYT",Jaaaaaaaaaaaaaaaaaaaaaaaaaaaaaam - DJ Chunk,,
Rosalita,Bruce Springsteen ,Classic Rock,DJ Younger Twin,"You know that little cafe, the one where they play guitars all night and all day? Being stuck in the mud, somewhere in those swamps of Jersey? - DJYT","It's a party in song form, love me some Rosie! - DJ Chunk",,
Fashionable People,Joel Plaskett Emergency,Rock,DJ Mil,Randomly found this one. Good spring time stroller,,,
Pressure Drop,Toots & The Maytals,Reggae,DJ Mil,Waxing up my surfboard when this gem came on. Gonna be a good day,First double song of FTA! Won't be surprised if it comes up in June. It's that good. - DJ Chunk,,
Dirty Dancing,Fionn,alt pop,DJ Midge,catchy ,,,
Following the Sun,"Super-hi, Neeka",dance,DJ Midge,makes me happy,,,
